name,sub_region,description,tier,type,lat,lon
"Kızkumu","Orhaniye, Marmaris","A natural sandbar lets you walk far out into the bay as if strolling on the sea itself","local_secret","sea beach","36.77","28.13"
"Gökpınar Gölü","Gürün, Sivas","An unreal turquoise spring-fed lake so clear the fish seem to float in air","hidden","lake","39.62","37.10"
"Patara Plajı","Kaş, Antalya","An 18-km sweep of golden dunes and empty sand backed by ancient ruins and nesting turtles","iconic","dune","36.27","29.31"
"Ayder Yaylası","Çamlıhemşin, Rize","A misty highland meadow of wooden chalets, hot springs and thundering green valleys","known","meadow","40.95","41.10"
"Girlevik Şelalesi","Erzincan","A wide curtain of water plunging over a basalt ledge that freezes into ice pillars in winter","local_secret","waterfall","39.63","39.75"
"İncekaya Kanyonu","Safranbolu, Karabük","A dizzying canyon crossed by an old aqueduct with a glass viewing terrace over the abyss","hidden","canyon","41.28","32.65"
"Saklıkent Kanyonu","Fethiye, Muğla","An 18-km slot canyon of icy waist-deep water squeezed between towering walls that block out the sun","iconic","canyon","36.49","29.39"
"Nemrut Krater Gölü","Tatvan, Bitlis","A vast dormant volcano cradling a cold blue lake and a warm one side by side","known","lake","38.62","42.23"
"Ulubey Kanyonu","Uşak","The country's second-longest canyon with a glass skywalk over red cliffs and a winding river far below","local_secret","canyon","38.42","29.28"
"Sera Gölü","Trabzon","A landslide-born lake tucked in a green valley, ringed by a quiet lakeside walking path","hidden","lake","40.98","39.63"
"Salda Gölü","Yeşilova, Burdur","Turkey's ""Maldives,"" with blinding white mineral shores and deep turquoise water in a volcanic basin","iconic","lake","37.55","29.68"
"Fırtına Vadisi","Çamlıhemşin, Rize","A wild green valley of stone arch bridges, roaring river and cloud-wrapped Kaçkar peaks","known","river","41.05","40.95"
"Sapadere Kanyonu","Alanya, Antalya","A boardwalk canyon leading to an icy emerald plunge pool beneath a hidden waterfall","local_secret","canyon","36.68","32.20"
"Marmaros Şelalesi","Gökçeada, Çanakkale","A remote island waterfall pouring into a natural rock pool cool enough to gasp in","hidden","waterfall","40.18","25.87"
"Uzungöl","Çaykara, Trabzon","A mirror lake beneath forested peaks and mosque minaret, glowing gold at dawn under drifting fog","iconic","lake","40.62","40.29"
"Muradiye Şelalesi","Van","A wide falls crossed by a swaying suspension bridge, framed by wildflowers above Lake Van","known","waterfall","39.00","43.77"
"Limni Gölü","Torul, Gümüşhane","A glassy plateau lake reflecting the Zigana pines, reached by a forest track few outsiders find","local_secret","lake","40.55","39.30"
"Aladağlar Yedigöller","Niğde","Seven glacial lakes hidden in a high alpine bowl only reached after a hard day's mountain trek","hidden","lake","37.83","35.15"
"Aşk Vadisi / Göreme","Nevşehir","A surreal valley of towering fairy chimneys best seen at sunrise beneath a sky of balloons","iconic","cliff","38.66","34.82"
"Yedigöller Milli Parkı","Bolu","Seven forest lakes linked by streams that blaze crimson and gold each autumn","known","lake","40.94","31.75"
"Tomara Şelalesi","Şiran, Gümüşhane","A broad spring gushing straight from the rock into a fan of falls beside a shady picnic grove","local_secret","waterfall","40.18","39.30"
"Ayvaini Mağarası","Nilüfer, Bursa","A vast underground cave-and-river system explored by lamplight far from any tourist trail","hidden","cave","40.10","28.85"
"Çıralı & Yanartaş","Kemer, Antalya","A turtle-nesting beach beneath a mountain where eternal natural flames flicker from the rocks","iconic","sea beach","36.42","30.47"
"Manavgat Şelalesi","Antalya","A wide, low thundering curtain of river water where tea gardens perch right at the mist","known","waterfall","36.83","31.42"
"Gölcük Gölü","Ödemiş, İzmir","A crater lake in cool cedar highland where lakeside cabins hide from the Aegean summer heat","local_secret","lake","38.28","28.05"
"Erikli Şelalesi","Yalova","A stepped forest waterfall on the Karlık slopes, loud with cold water and plane-tree shade","hidden","waterfall","40.55","29.15"
"İztuzu Plajı","Dalyan, Muğla","A wild 5-km sandbar between river and sea where loggerhead turtles crawl ashore to nest","iconic","sea beach","36.79","28.61"
"Düden Şelalesi","Antalya","A river that plunges dramatically off a coastal cliff straight into the Mediterranean","known","waterfall","36.88","30.75"
"Sünnet Gölü","Göynük, Bolu","A landslide-formed forest lake ringed with lilies, popular for quiet canoeing and camping","local_secret","lake","40.40","30.98"
"Cehennem Deresi Kanyonu","Kürtün, Gümüşhane","A ferociously deep ""Hell's Creek"" gorge dropping through untouched Black Sea forest","hidden","canyon","40.68","39.15"
"Van Gölü","Van/Bitlis","Turkey's largest lake, a soda-blue inland sea with island churches and swimmable pebble shores","iconic","lake","38.63","42.96"
"Akyaka Azmak Nehri","Ula, Muğla","A crystal spring-river so clear the boats seem to hover, winding through reeds to the bay","known","river","37.05","28.32"
"Palamutbükü","Datça, Muğla","A long clear-water pebble beach at the wild tip of the Datça peninsula, framed by ancient Knidos","local_secret","sea beach","36.68","27.42"
"Ilıca Şelalesi","Küre Dağları, Kastamonu","A twin waterfall dropping into a green basin along a wild boardwalk trail few reach","hidden","waterfall","41.75","33.20"
"Sümela & Altındere Vadisi","Maçka, Trabzon","A cliff-clinging monastery above a foggy forested valley of streams and pine","iconic","cliff","40.69","39.66"
"Dilek Yarımadası Milli Parkı","Kuşadası, Aydın","A protected peninsula of secret white-pebble coves backed by wild boar and mountain forest","known","sea beach","37.68","27.15"
"Karaca Mağarası","Torul, Gümüşhane","A jewel-box cave dripping with stalactites and travertine pools glowing under colored light","local_secret","cave","40.42","39.28"
"Sis Dağı Yaylası","Görele, Giresun","A rolling fog-drenched summer highland where cows graze on wildflower meadows above the clouds","hidden","meadow","40.75","38.55"
"Ağrı Dağı","Ararat) (Iğdır/Ağrı","Turkey's highest snowcapped volcanic cone rising alone above the plains toward Armenia","iconic","mountain viewpoint","39.70","44.30"
"Bozcaada","Çanakkale","A windswept Aegean island of vineyards, sunset coves and empty golden Ayazma beach","known","island","39.83","26.05"
"İğneada Longoz Ormanları","Kırklareli","Rare flooded forests where trees stand in black water between the Black Sea and lagoons","local_secret","forest","41.87","27.97"
"Susuz Şelalesi","Sarıkamış, Kars","A little-known falls in a rocky gorge, wrapped in wildflowers in summer and ice in deep winter","hidden","waterfall","40.52","43.02"
"Cennet–Cehennem & Narlıkuyu","Silifke, Mersin","Dramatic collapse sinkholes and a coastal cave beside a mosaic-floored spring pool","known","cave","36.45","34.10"
"Suluada","Adrasan, Antalya","A tiny uninhabited island fringed by tropical-white sand and impossibly clear turquoise shallows","local_secret","island","36.28","30.45"
"Diyadin Kaplıcaları","Ağrı","Steaming travertine hot springs and a warm river canyon set beneath the eastern mountains","local_secret","thermal","39.55","43.67"
"Yuvarlakçay","Köyceğiz, Muğla","A cold, clear stream winding under sweetgum trees where you swim beside a rustic watermill","hidden","river","37.02","28.55"
